issue_id,category,severity,title,affected_files,audit_file,section,dependencies,root_cause,business_impact,technical_impact,risk_of_fix,estimated_effort,regression_risk,testing_required,rollback_required,status,phase
ISS-042,Code-Quality/Error-Handling,Medium,"Unawaited fire-and-forget database write with a swallowed error","src/app/api/proposals/email/route.ts (line 36)","PROJECT_DISCOVERY.md; LIBRARY_INVENTORY.md","Email integration; Unhandled promises","None","Convenience - the response doesn't wait on a non-critical status update","If the update silently fails, the proposal's email_sent_at/status fields go out of sync with reality, with zero visibility","Silent data inconsistency, hard to debug after the fact","Low - await it and log (don't necessarily need to fail the request) on error","Small","Low","Force the update to fail (e.g. bad proposal_id) and confirm the error is now at least logged","YES","Ready","Phase 5"
ISS-043,Integrations-WhatsApp/Duplicate-Code,Medium,"Two independent, non-shared implementations of the same Meta Graph API call exist","src/lib/whatsapp.ts (line 75); src/lib/whatsapp/send-message.ts (line 27)","LIBRARY_INVENTORY.md","src/lib/whatsapp/*.ts","ISS-015 (resolved together with the dead-subsystem decision)","One is the live implementation, the other belongs to the dead subsystem (ISS-015)","None currently (one path is dead)","If the dead subsystem is ever revived without deduplication, a future bug fix to the Meta API integration might only be applied to one of the two copies","Trivial once ISS-015's scoping decision is made","Small","Low","N/A until ISS-015 is resolved","N/A","Blocked","Phase 5 (resolved as part of ISS-015)"
ISS-044,Configuration/Maintainability,Medium,"Business contact phone numbers and pricing hardcoded across 6+ library files instead of centralized","src/lib/ai.ts (lines 32,37,48,50,249); src/lib/campaigns.ts (lines 35,47,49,50,140,160); src/lib/documents.ts (lines 82,96,104,123,150); src/lib/proposal-intelligence.ts (lines 113,121); src/lib/proposal-pdf.ts (line 549); src/lib/templates.ts (lines 121,163,177,212,218,253)","LIBRARY_INVENTORY.md","src/lib/*.ts inventory","None","No single 'business info' config module was ever created; each file that needed a contact number hardcoded it","Changing the business phone number, WhatsApp number, or UPI ID requires hunting through and editing 6+ source files and redeploying, rather than one config change","High duplication, high risk of missing one instance during an update (as evidenced by the auto-reply pricing mismatch noted separately)","Low-Medium - extract to a single constants module, straightforward find/replace per file","Medium","Low","Confirm every rendered message/PDF/prompt still shows the correct (same) values after centralization","YES","Deferred","Phase 8"
ISS-045,Frontend/Performance,Low,"proposal-pdf.ts fetches Google Fonts live over the network at PDF-render time","src/lib/proposal-pdf.ts (line 278, @import url(fonts.googleapis.com))","LIBRARY_INVENTORY.md","src/lib/*.ts inventory","None","Convenience - simplest way to get custom fonts into generated HTML/PDF","PDF generation latency depends on an external network call every time; if Google Fonts is unreachable or slow, proposal PDF generation degrades or fails for customers","External runtime dependency for a core deliverable (the proposal PDF customers receive)","Low - self-host the font files or inline them at build time","Small-Medium","Low","Generate a proposal PDF with network access to fonts.googleapis.com blocked, confirm current behavior, then confirm fix resolves it","YES","Deferred","Phase 8"
ISS-046,Code-Quality/Duplicate-Code,Low,"CookieItem interface is defined independently in two separate files","src/lib/supabase-server.ts (lines 5-9); src/lib/supabase-types.ts (line 3)","LIBRARY_INVENTORY.md","src/lib/*.ts inventory","None","supabase-server.ts predates supabase-types.ts and was never migrated to import from it","None functionally today (both definitions are structurally identical)","Two sources of truth for the same shape; a future edit to one won't propagate to the other","Trivial","Small","None","Type-check after consolidating to a single shared import","YES","Deferred","Phase 8"
ISS-047,Integrations-WhatsApp/Business-Logic,Medium,"Auto-reply copy contains hardcoded generic hotel pricing that does not match the real seeded banquet packages","src/app/api/whatsapp/webhook/route.ts (buildAutoReply function, lines 194-207 per prior recon); supabase/migrations/007_missing_tables.sql (packages table, real prices at lines 170-190)","ROUTES.md (WhatsApp webhook detail); DATABASE_AUDIT.md (packages table)","whatsapp/webhook/route.ts detail","None","Auto-reply copy appears to be leftover boilerplate from an earlier generic-hotel product direction, never updated after the packages table/pricing was finalized","Customers asking the WhatsApp bot about pricing receive incorrect information (wrong venue names, wrong prices) instead of the real Silver/Gold/Platinum packages","Direct customer-facing misinformation from an automated system","Low-Medium - rewrite buildAutoReply to query the packages table instead of using hardcoded strings","Medium","Low","Send a WhatsApp message containing 'price', confirm the auto-reply now quotes real seeded package prices","YES","Ready","Phase 6"
ISS-048,Testing/Verification,Low,"Unverified whether any in-scope CRM page renders hardcoded/mock data instead of live data","All 12 pages in src/app/(crm), src/app/admin, src/app/analytics","PAGE_INVENTORY.md","Placeholder / stub / fake-data / TODO scan","None","Only a keyword scan for explicit placeholder markers was performed in the audit; full data-fetching logic was not traced per page","Unknown until verified - if any page shows mock data, users may be making business decisions off fake numbers","Unknown - flagged for investigation, not confirmed as a real defect","N/A until investigated","Small (investigation)","N/A","Manually cross-check each page's displayed numbers against direct Supabase queries for the same data","N/A","Deferred","Phase 9 (part of manual QA pass)"
ISS-049,Database/Business-Logic,Medium,"Whether the 5 missing tables/1 missing column represent live schema drift or a genuinely broken feature is unresolved","See ISS-009 and ISS-010","DATABASE_AUDIT.md","Tables/views referenced in application code but ABSENT from every migration","None - this IS the prerequisite investigation for ISS-009 and ISS-010","Read-only file-system audit cannot connect to the live database","Blocks any safe fix to ISS-009/ISS-010 until resolved - fixing blind risks either creating duplicate/conflicting schema (if it already exists) or missing the fix entirely (if it doesn't)","Root-cause ambiguity for two Critical-severity findings","N/A - this is an investigation task, not a code change","Small","None","Connect to the live Supabase project (with credentials) and query information_schema.tables and information_schema.columns for the 5 table/view names and the lead_stage column","N/A","Blocked","Phase 0 (must happen before Phase 3 database work)"
ISS-050,Deployment/DeveloperExperience,High,"No one-click install / setup wizard / startup env validation exists","Entire project - absence confirmed across package.json scripts, DEPLOYMENT_AUDIT.md","DEPLOYMENT_AUDIT.md; PROJECT_DISCOVERY.md","package.json scripts","ISS-036, ISS-037 (env centralization/doc fixes are prerequisites)","Never built - project brief's goal of 'install and immediately start using it' was not implemented","New deployments require manual trial-and-error to discover required configuration (compounded by ISS-037's doc mismatches)","No fail-fast startup check; errors surface late, per-feature, at request time","Medium - build a startup validation script/health check gate plus a setup guide","Medium","Low","Fresh-clone install attempt following only the setup documentation, timed and logged for gaps","N/A - additive tooling","Ready","Phase 10"
ISS-051,Performance/Configuration,Low,"Blanket no-store cache header applied to all API routes with no differentiated caching strategy","next.config.js (headers(), Cache-Control: no-store, max-age=0 on /api/:path*)","DEPLOYMENT_AUDIT.md","next.config.js","None","Simplest safe default when the app was young; never revisited for genuinely cacheable reads (e.g. packages, festival_calendar)","No functional bug - just leaves performance on the table for low-change, high-read data","Missed opportunity for edge/CDN caching on read-heavy, rarely-changing endpoints","Low - opt specific routes into caching, don't change the default","Small","Low","Load-test a newly-cached route before/after to confirm expected latency improvement and correct cache invalidation on writes","YES","Deferred","Phase 8"
ISS-052,Frontend,Low,"Two page.tsx files exist outside the audited (crm)/admin/analytics scope and were not evaluated","src/app/page.tsx (351 lines); src/app/auth/login/page.tsx (151 lines, covered separately in AUTH_AUDIT.md)","PAGE_INVENTORY.md","Pages found outside the requested scope","None","Out of the original audit's literal Part 8 scope","Unknown - landing page quality/correctness was never assessed","Coverage gap in the audit itself, not a confirmed application defect","N/A until reviewed","Small (review)","N/A","Manual review of the landing page for correctness/quality akin to the other 12 pages","N/A","Deferred","Phase 9 (part of manual QA pass)"
